code,name,type,group,normal_balance,is_postable,parent_code,statement,notes
1000,ASET,ASET,,DEBIT,FALSE,,NERACA,Header
1100,Aset Lancar,ASET,Aset Lancar,DEBIT,FALSE,1000,NERACA,Header
1101,Kas,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Kas di tangan / kas cabang (termasuk kas Teller)
1102,Kas Kecil,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Petty cash
1110,Bank,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Rekening bank koperasi
1120,Piutang Pinjaman Anggota,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Pokok pinjaman beredar
1121,Penyisihan Penurunan Nilai Piutang,ASET,Aset Lancar,KREDIT,TRUE,1100,NERACA,Kontra-aset (cadangan kerugian piutang)
1130,Piutang Jasa Pinjaman,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Jasa yang masih harus diterima
1131,Piutang Iuran UPF,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,v2 - Piutang iuran kios/tenant (kebersihan/keamanan/listrik/air/dst) - default mapping coa_account_receivable_id Master Jenis Iuran
1132,Rekening Antar Kantor (RAK),ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,v2 - Hanya dipakai bila transaksi lintas cabang diaktifkan (PRD Sec 6). Saldo per cabang bisa debit/kredit; total seluruh cabang harus nol dan dieliminasi saat laporan konsolidasi (RPT-05)
1133,Piutang Denda Pinjaman,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,v2 - Denda keterlambatan angsuran yang masih harus diterima - default mapping coa_account_penalty_receivable_id Master Produk Pinjaman
1140,Persediaan Barang Dagang,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Unit Toko/Ritel - dikelola perpetual via Stock Ledger Engine (average cost)
1150,Biaya Dibayar Dimuka,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,Sewa/asuransi dibayar dimuka
1160,Perlengkapan,ASET,Aset Lancar,DEBIT,TRUE,1100,NERACA,ATK/supplies
1200,Aset Tidak Lancar,ASET,Aset Tidak Lancar,DEBIT,FALSE,1000,NERACA,Header
1210,Tanah,ASET,Aset Tidak Lancar,DEBIT,TRUE,1200,NERACA,
1220,Bangunan,ASET,Aset Tidak Lancar,DEBIT,TRUE,1200,NERACA,
1221,Akumulasi Penyusutan Bangunan,ASET,Aset Tidak Lancar,KREDIT,TRUE,1200,NERACA,Kontra-aset
1230,Peralatan & Inventaris,ASET,Aset Tidak Lancar,DEBIT,TRUE,1200,NERACA,
1231,Akumulasi Penyusutan Peralatan,ASET,Aset Tidak Lancar,KREDIT,TRUE,1200,NERACA,Kontra-aset
1240,Kendaraan,ASET,Aset Tidak Lancar,DEBIT,TRUE,1200,NERACA,
1241,Akumulasi Penyusutan Kendaraan,ASET,Aset Tidak Lancar,KREDIT,TRUE,1200,NERACA,Kontra-aset
1250,Aset Tetap Lainnya,ASET,Aset Tidak Lancar,DEBIT,TRUE,1200,NERACA,v2 - Catch-all untuk Kategori Aktiva Tetap dinamis baru (Master Kategori Aktiva Tetap) yang belum punya akun khusus
1251,Akumulasi Penyusutan Aset Tetap Lainnya,ASET,Aset Tidak Lancar,KREDIT,TRUE,1200,NERACA,v2 - Kontra-aset pasangan 1250
2000,LIABILITAS,LIABILITAS,,KREDIT,FALSE,,NERACA,Header
2100,Liabilitas Jangka Pendek,LIABILITAS,Liabilitas Jangka Pendek,KREDIT,FALSE,2000,NERACA,Header
2101,Simpanan Sukarela Anggota,LIABILITAS,Liabilitas Jangka Pendek,KREDIT,TRUE,2100,NERACA,Dapat ditarik sewaktu-waktu -> kewajiban
